Series,ID,Freq,Q1(愛國),Q3(四大界別),Q4(篩選設上限),Q5(普選方式),Q6(提委會以外方式),Q7(立法會),Q8(功能組別)
D,604,1,c,a,c,c,b,c,c
D,1062,1,a,a,a,c,b,c,c
D,1715,1,a,a,a,c,b,c,c
D,3096,1,c,c,c,c,c,c,c
D,3542,1,a,c,c,c,c,c,c
D,4523,1,c,c,c,c,c,c,c
D,4635,1,c,b,a,a,a,b,a
D,4969,1,a,a,a,c,b,c,c
D,5356,1,c,c,c,c,a,c,c
D,5731,1,c,a,a,a,b,c,c
D,5756,1,c,b,c,c,c,c,c
E,2,1532,c,c,b,c,a,c,a
E,51,2,c,c,c,c,c,c,c
E,53,1029,c,a,a,a,b,a,c
E,54,1061,c,a,a,b,b,a,c
E,55,863,c,a,c,c,b,c,c
E,56,1545,a,a,a,b,b,a,c
E,59,563,a,a,a,a,b,a,c
E,60,655,c,a,a,b,b,c,c
E,64,386,a,c,c,c,b,c,c
E,71,199,a,a,a,c,b,c,c
E,72,518,a,c,c,c,c,c,c
E,83,77,a,c,c,c,c,c,c
E,114,443,c,a,a,b,b,a,c
E,116,6781,c,b,a,b,b,a,c
E,120,137,c,a,a,b,b,a,c
E,132,104,c,c,c,c,c,c,c
E,137,4093,c,a,a,c,b,a,c
E,141,21,a,a,a,a,b,c,c
E,143,109,a,a,a,c,b,c,c
E,153,551,a,a,a,c,b,c,c
E,164,161,c,a,a,c,b,c,c
E,172,8,a,a,c,c,b,c,c
E,174,5,a,c,c,c,c,c,c
E,229,19,c,c,c,c,c,c,c
E,247,40,a,c,c,c,c,c,c
E,252,30,a,a,a,b,b,a,c
E,257,125,a,c,c,c,b,a,c
E,259,78,a,c,c,c,c,c,c
E,285,1648,c,a,a,b,b,a,c
E,287,93,c,c,a,b,c,a,c
E,291,448,a,a,c,b,c,c,c
E,298,37,c,c,c,c,c,c,c
E,300,15,c,a,a,a,b,a,c
E,301,29,a,c,c,c,c,c,c
E,318,217,c,a,a,b,b,a,c
E,322,250,c,a,a,c,b,c,c
E,325,19,c,a,c,c,b,c,c
E,326,291,c,a,c,c,b,c,c
E,338,86,a,a,a,a,b,c,c
E,354,161,c,a,a,b,b,c,c
E,366,39,c,a,a,b,b,a,c
E,371,455,c,a,a,b,b,a,c
E,383,435,c,a,a,c,b,a,c
E,390,199,c,a,a,b,b,a,c
E,392,110,c,c,c,c,c,c,c
E,405,15,c,c,c,c,c,c,c
E,408,23,c,c,c,c,c,c,b
E,410,596,c,a,a,b,b,a,c
E,411,918,c,a,a,a,b,c,c
E,413,89,c,a,a,b,b,a,c
E,415,77,a,a,c,c,c,c,c
E,416,31,c,a,a,a,b,c,c
E,422,121,c,b,b,c,a,c,c
E,423,114,c,a,a,b,b,c,c
E,424,1506,c,c,c,c,a,c,a
E,426,132,c,a,a,c,b,c,c
E,428,143,c,a,a,c,b,a,c
E,429,155,a,a,a,c,b,b,c
E,434,144,c,a,a,b,b,a,c
E,435,135,c,a,a,b,b,a,c
E,441,10,a,c,c,c,c,c,c
E,443,156,c,a,a,b,b,a,c
E,462,15804,a,c,c,c,c,c,c
E,472,24831,a,c,c,c,c,c,c
E,488,2828,a,a,a,b,b,a,c
E,491,2,c,a,a,b,b,a,c
E,516,985,a,a,a,b,b,a,b
E,523,334,c,a,a,a,b,a,c
E,525,62,c,a,a,c,b,a,c
E,535,229,a,a,a,c,c,a,c
E,558,14530,a,a,a,c,b,c,c
E,559,225,c,a,a,c,b,c,c
E,569,3,a,c,c,c,c,c,c
E,579,385,c,a,c,b,b,c,c
E,580,113,a,a,a,b,b,a,c
E,586,372,c,b,a,c,a,c,c
E,589,8,c,c,c,c,c,c,c
E,590,798,c,a,a,a,b,c,c
E,591,3079,c,a,a,a,b,c,c
E,592,62,a,a,c,c,c,c,c
E,605,2215,a,a,a,b,b,a,b
E,609,565,c,a,a,b,b,a,c
E,611,1989,a,a,a,b,b,a,b
E,632,91,c,a,c,c,b,a,b
E,636,183,c,a,c,c,b,a,b
E,652,114,c,c,c,c,a,c,c
E,660,11,c,a,c,c,c,c,c
E,666,10,c,c,c,c,c,c,c
E,744,4,c,c,c,c,c,c,c